part_id,country,part_age_group,part_adult_child,part_ethnicity,part_ses,day_week,large_n,add_u18_work,add_18_64_work,add_65_work,add_u18_school,add_18_64_school,add_65_school,add_u18_other,add_18_64_other,add_65_other
922,UK,55-59,Adult,White,Retired,weekday,1,0,0,0,0,0,0,0,1,0
933,UK,40-44,Adult,White,1,weekday,4,0,0,0,0,0,0,1,2,1
944,UK,15-19,Adult,Mixed,1,weekday,4,0,0,0,0,0,0,0,3,1
955,UK,65-69,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
966,UK,55-59,Adult,White,1,weekday,0,0,0,0,0,0,0,0,0,0
977,UK,60-64,Adult,White,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
988,UK,70-74,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
999,UK,25-29,Adult,Black,3,weekday,0,0,0,0,0,0,0,0,0,0
1010,UK,50-54,Adult,Black,3,weekday,0,0,0,0,0,0,0,0,0,0
1021,UK,40-44,Adult,White,2,weekday,1,0,0,0,0,0,0,1,0,0
1032,UK,30-34,Adult,White,3,weekday,0,0,0,0,0,0,0,0,0,0
1043,UK,55-59,Adult,White,Unknown,weekday,3,0,0,0,0,0,0,0,2,1
1054,UK,30-34,Adult,White,2,weekday,0,0,0,0,0,0,0,0,0,0
1065,UK,70-74,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
1076,UK,70-74,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
1087,UK,50-54,Adult,White,2,weekday,51,0,0,0,0,0,0,30,20,1
1098,UK,55-59,Adult,White,6,weekday,0,0,0,0,0,0,0,0,0,0
1109,UK,60-64,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
1120,UK,65-69,Adult,White,Retired,weekday,4,0,0,0,0,0,0,0,3,1
1131,UK,60-64,Adult,White,2,weekday,0,0,0,0,0,0,0,0,0,0
1142,UK,25-29,Adult,Asian,1,weekday,0,0,0,0,0,0,0,0,0,0
1153,UK,25-29,Adult,White,3,weekday,0,0,0,0,0,0,0,0,0,0
1164,UK,55-59,Adult,White,5,weekday,0,0,0,0,0,0,0,0,0,0
1175,UK,75+,Adult,White,Retired,weekday,1,0,0,0,0,0,0,0,0,1
1186,UK,45-49,Adult,White,2,weekday,0,0,0,0,0,0,0,0,0,0
1197,UK,50-54,Adult,Mixed,1,weekday,0,0,0,0,0,0,0,0,0,0
1208,UK,45-49,Adult,White,Unemployed,weekday,0,0,0,0,0,0,0,0,0,0
1219,UK,30-34,Adult,Black,2,weekday,11,0,0,0,0,0,0,9,2,0
1230,UK,40-44,Adult,White,7,weekday,0,0,0,0,0,0,0,0,0,0
1241,UK,25-29,Adult,White,2,weekday,0,0,0,0,0,0,0,0,0,0
1252,UK,30-34,Adult,Black,2,weekday,0,0,0,0,0,0,0,0,0,0
1263,UK,30-34,Adult,Asian,Unemployed,weekday,9,0,3,0,0,6,0,0,0,0
1274,UK,45-49,Adult,White,1,weekend,0,0,0,0,0,0,0,0,0,0
1285,UK,35-39,Adult,Black,6,weekday,15,0,0,0,0,0,0,10,2,3
1296,UK,30-34,Adult,Black,3,weekend,2,0,0,0,0,0,0,0,1,1
1307,UK,65-69,Adult,White,Unknown,weekday,0,0,0,0,0,0,0,0,0,0
1318,UK,60-64,Adult,White,1,weekday,4,0,0,0,0,0,0,0,3,1
1329,UK,55-59,Adult,White,Unemployed,weekend,0,0,0,0,0,0,0,0,0,0
1340,UK,65-69,Adult,White,Retired,weekday,0,0,0,0,0,0,0,0,0,0
1351,UK,75+,Adult,White,6,weekday,0,0,0,0,0,0,0,0,0,0
